"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000002216","ENSTGUG00000002144","IRF4","interferon regulatory factor 4 [Source:UniProtKB Gene Name;Acc:H0YV95]","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000002220","ENSTGUG00000002149","C9","complement C9 [Source:UniProtKB Gene Name;Acc:H0YV99]","complement activation; complement activation, alternative pathway; complement activation, classical pathway; immune response; immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002236","ENSTGUG00000002168","PTGER4","prostaglandin E receptor 4 [Source:UniProtKB Gene Name;Acc:H0YVB5]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002243","ENSTGUG00000002170","RIPK1","receptor interacting serine/threonine kinase 1 [Source:UniProtKB Gene Name;Acc:H0YVC2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002251","ENSTGUG00000002175","DHTKD1","dehydrogenase E1 and transketolase domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A674GT91]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002273","ENSTGUG00000002197","C7","complement C7 [Source:UniProtKB Gene Name;Acc:A0A674HVK4]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002275","ENSTGUG00000002205","MED1","mediator complex subunit 1 [Source:UniProtKB Gene Name;Acc:A0A674GY59]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002291","ENSTGUG00000002207","C6","complement C6 [Source:UniProtKB Gene Name;Acc:A0A674H2H7]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002312","ENSTGUG00000002206","ATP11C","ATPase phospholipid transporting 11C [Source:UniProtKB Gene Name;Acc:H0YVJ1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002315","ENSTGUG00000002245","IKZF3","IKAROS family zinc finger 3 [Source:UniProtKB Gene Name;Acc:H0YVJ4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002316","ENSTGUG00000002250","ZPBP2","zona pellucida binding protein 2 [Source:UniProtKB Gene Name;Acc:H0YVJ5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002336","ENSTGUG00000002266","CSF3","colony stimulating factor 3 [Source:UniProtKB Gene Name;Acc:H0YVL5]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002379","ENSTGUG00000002306","TSPAN6","tetraspanin 6 [Source:UniProtKB Gene Name;Acc:H0YVQ8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002407","ENSTGUG00000002334","MAD2L2","mitotic arrest deficient 2 like 2 [Source:NCBI gene (formerly Entrezgene);Acc:100226442]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002410","ENSTGUG00000002312","TOP2A","DNA topoisomerase II alpha [Source:UniProtKB Gene Name;Acc:A0A674HCL9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002421","ENSTGUG00000002356","CCR7","C-C motif chemokine receptor 7 [Source:UniProtKB Gene Name;Acc:H0YVU9]","immune response; negative thymic T cell selection","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002423","ENSTGUG00000002353","MEIS1","Meis homeobox 1 [Source:UniProtKB Gene Name;Acc:H0YVV3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002425","ENSTGUG00000002353","MEIS1","Meis homeobox 1 [Source:UniProtKB Gene Name;Acc:H0YVV3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002426","ENSTGUG00000002342","DCLRE1C","DNA cross-link repair 1C [Source:UniProtKB Gene Name;Acc:A0A674GKR1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002439","ENSTGUG00000002368","IL15","interleukin 15 [Source:UniProtKB Gene Name;Acc:H0YVW7]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002451","ENSTGUG00000002380","PLEK","pleckstrin [Source:UniProtKB Gene Name;Acc:H0YVX9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002480","ENSTGUG00000002382","ITGA1","integrin subunit alpha 1 [Source:UniProtKB Gene Name;Acc:A0A674HCR0]","cellular extravasation; neutrophil chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002490","ENSTGUG00000002420","C8G","complement C8 gamma chain [Source:UniProtKB Gene Name;Acc:A0A674H4W7]","complement activation","ZebraFinch","biomartGO"
"ENSTGUP00000002505","ENSTGUG00000002425","FST","follistatin [Source:UniProtKB Gene Name;Acc:H0YW32]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002510","ENSTGUG00000002428","TRAF2","TNF receptor associated factor 2 [Source:UniProtKB Gene Name;Acc:H0YW37]","T cell activation; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002538","ENSTGUG00000002467","PHPT1","phosphohistidine phosphatase 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190052]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002555","ENSTGUG00000002439","SCIN","scinderin [Source:UniProtKB Gene Name;Acc:H0YW82]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002596","ENSTGUG00000002516","DHX58","DExH-box helicase 58 [Source:UniProtKB Gene Name;Acc:A0A674GQ97]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002606","ENSTGUG00000002529","PARK7","Parkinsonism associated deglycase [Source:NCBI gene (formerly Entrezgene);Acc:100190506]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002617","ENSTGUG00000002531","KAT2A","lysine acetyltransferase 2A [Source:UniProtKB Gene Name;Acc:A0A674H2N8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002636","ENSTGUG00000002565","IL31RA","interleukin 31 receptor A [Source:UniProtKB Gene Name;Acc:H0YWG3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002656","ENSTGUG00000002582","ITM2A","integral membrane protein 2A [Source:NCBI gene (formerly Entrezgene);Acc:100190544]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002670","ENSTGUG00000002600","STAT3","signal transducer and activator of transcription 3 [Source:UniProtKB Gene Name;Acc:H0YWJ7]","T-helper 17 type immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002696","ENSTGUG00000002614","TTC7A","tetratricopeptide repeat domain 7A [Source:UniProtKB Gene Name;Acc:A0A674GTH8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002703","ENSTGUG00000002631","SOCS5","suppressor of cytokine signaling 5 [Source:UniProtKB Gene Name;Acc:H0YWM9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002704","ENSTGUG00000002619","CD36","CD36 molecule (CD36 blood group) [Source:UniProtKB Gene Name;Acc:A0A674GXA1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002711","ENSTGUG00000002637","POU4F2","POU class 4 homeobox 2 [Source:UniProtKB Gene Name;Acc:H0YWN7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002726","ENSTGUG00000002653","TLR5","toll like receptor 5 [Source:UniProtKB Gene Name;Acc:H0YWQ2]","immune response; toll-like receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000002727","ENSTGUG00000002650","ITGB8","integrin subunit beta 8 [Source:UniProtKB Gene Name;Acc:A0A674H690]","Langerhans cell differentiation; immune response; memory T cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000002729","ENSTGUG00000002600","STAT3","signal transducer and activator of transcription 3 [Source:UniProtKB Gene Name;Acc:H0YWJ7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002739","ENSTGUG00000002630","PDE4D","phosphodiesterase 4D [Source:UniProtKB Gene Name;Acc:A0A674GX82]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002744","ENSTGUG00000002652","GNAI1","G protein subunit alpha i1 [Source:UniProtKB Gene Name;Acc:H0YWS0]","T cell migration","ZebraFinch","biomartGO"
"ENSTGUP00000002756","ENSTGUG00000002677","NAGLU","N-acetyl-alpha-glucosaminidase [Source:UniProtKB Gene Name;Acc:H0YWT2]","microglial cell activation; toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000002767","ENSTGUG00000002658","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:UniProtKB Gene Name;Acc:A0A674HBA9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002770","ENSTGUG00000002685","EDA","ectodysplasin A [Source:UniProtKB Gene Name;Acc:H0YWU6]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002777","ENSTGUG00000024663","EFNB1","ephrin B1 [Source:UniProtKB Gene Name;Acc:H0YWV3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002782","ENSTGUG00000002705","DUSP10","dual specificity phosphatase 10 [Source:UniProtKB Gene Name;Acc:A0A674GAM6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002787","ENSTGUG00000002708","HLX","H2.0 like homeobox [Source:UniProtKB Gene Name;Acc:H0YWW3]","T-helper 1 cell differentiation; T-helper 2 cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002805","ENSTGUG00000002725","IL6","interleukin 6 [Source:UniProtKB Gene Name;Acc:H0YWY1]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002824","ENSTGUG00000002746","FGL2","fibrinogen like 2 [Source:UniProtKB Gene Name;Acc:H0YWZ9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002846","ENSTGUG00000002763","GPNMB","glycoprotein nmb [Source:UniProtKB Gene Name;Acc:H0YX20]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002906","ENSTGUG00000002820","LYPLAL1","lysophospholipase like 1 [Source:UniProtKB Gene Name;Acc:H0YX80]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000002920","ENSTGUG00000002826","MSN","moesin [Source:UniProtKB Gene Name;Acc:H0YX94]","T cell migration; T cell proliferation; leukocyte migration","ZebraFinch","biomartGO"
"ENSTGUP00000002921","ENSTGUG00000002825","TGFB2","transforming growth factor beta 2 [Source:UniProtKB Gene Name;Acc:A0A674H6E7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002966","ENSTGUG00000002882","SOX9","SRY-box transcription factor 9 [Source:UniProtKB Gene Name;Acc:H0YXE0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002971","ENSTGUG00000002886","SNX10","sorting nexin 10 [Source:UniProtKB Gene Name;Acc:H0YXE5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003004","ENSTGUG00000002917","HOXA7","homeobox A7 [Source:UniProtKB Gene Name;Acc:H0YXH8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003021","ENSTGUG00000002931","SOX13","SRY-box transcription factor 13 [Source:UniProtKB Gene Name;Acc:H0YXJ5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003023","ENSTGUG00000002911","KMT2E","lysine methyltransferase 2E (inactive) [Source:UniProtKB Gene Name;Acc:A0A674HI13]","neutrophil mediated immunity","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003043","ENSTGUG00000002958","NPLOC4","NPL4 homolog, ubiquitin recognition factor [Source:UniProtKB Gene Name;Acc:H0YXL7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003045","ENSTGUG00000002952","HPRT1","hypoxanthine phosphoribosyltransferase 1 [Source:UniProtKB Gene Name;Acc:H0YXL9]","T cell mediated cytotoxicity; lymphocyte proliferation","ZebraFinch","biomartGO"
"ENSTGUP00000003047","ENSTGUG00000002957","PRKCZ","protein kinase C zeta [Source:UniProtKB Gene Name;Acc:H0YXM1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003065","ENSTGUG00000002961","PUS7","pseudouridine synthase 7 [Source:UniProtKB Gene Name;Acc:H0YXN9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003067","ENSTGUG00000002973","GPC3","glypican 3 [Source:UniProtKB Gene Name;Acc:A0A674HJK7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003093","ENSTGUG00000003000","","","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000003096","ENSTGUG00000003003","","immunoglobulin heavy variable 6-1 [Source:HGNC Symbol;Acc:HGNC:5662]","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000003098","ENSTGUG00000003004","","","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000003101","ENSTGUG00000003008","","","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000003102","ENSTGUG00000003010","","","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000003114","ENSTGUG00000002982","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1 [Source:UniProtKB Gene Name;Acc:H0YXT8]","B cell differentiation; T follicular helper cell differentiation; myeloid leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003117","ENSTGUG00000003013","FLVCR1","FLVCR choline and heme transporter 1 [Source:UniProtKB Gene Name;Acc:H0YXU1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003139","ENSTGUG00000003046","ROMO1","reactive oxygen species modulator 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190524]","antimicrobial humoral immune response mediated by antimicrobial peptide","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003157","ENSTGUG00000003069","RNF213","ring finger protein 213 [Source:UniProtKB Gene Name;Acc:A0A674GZS2]","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000003173","ENSTGUG00000003065","SNCA","synuclein alpha [Source:NCBI gene (formerly Entrezgene);Acc:751582]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003233","ENSTGUG00000003139","RFTN1","raftlin, lipid raft linker 1 [Source:UniProtKB Gene Name;Acc:H0YY56]","B cell receptor signaling pathway; T cell receptor signaling pathway; toll-like receptor 3 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003249","ENSTGUG00000003154","PLCL2","phospholipase C like 2 [Source:UniProtKB Gene Name;Acc:H0YY72]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003259","ENSTGUG00000003117","STXBP1","syntaxin binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GQL2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003277","ENSTGUG00000003177","TRAF3IP1","TRAF3 interacting protein 1 [Source:UniProtKB Gene Name;Acc:H0YY99]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003285","ENSTGUG00000003190","TNFSF15","TNF superfamily member 15 [Source:UniProtKB Gene Name;Acc:H0YYA7]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000003291","ENSTGUG00000003196","TNFSF8","TNF superfamily member 8 [Source:UniProtKB Gene Name;Acc:H0YYB3]","CD8-positive, alpha-beta T cell differentiation; immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003302","ENSTGUG00000003198","SATB1","SATB homeobox 1 [Source:UniProtKB Gene Name;Acc:A0A674HW63]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003321","ENSTGUG00000003165","DOCK11","dedicator of cytokinesis 11 [Source:UniProtKB Gene Name;Acc:A0A674GX03]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003328","ENSTGUG00000003221","DAPK2","death associated protein kinase 2 [Source:UniProtKB Gene Name;Acc:A0A674GQ96]","neutrophil migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003338","ENSTGUG00000003197","HDAC4","histone deacetylase 4 [Source:UniProtKB Gene Name;Acc:H0YYG0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003347","ENSTGUG00000003252","","","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000003381","ENSTGUG00000003282","CD79B","CD79b molecule [Source:UniProtKB Gene Name;Acc:H0YYK3]","B cell differentiation; B cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000003394","ENSTGUG00000003280","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:UniProtKB Gene Name;Acc:H0YYL6]","immune system process; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003418","ENSTGUG00000003308","SKIC8","SKI8 subunit of superkiller complex [Source:NCBI gene (formerly Entrezgene);Acc:100189997]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003435","ENSTGUG00000003329","STEEP1","STING1 ER exit protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:100223622]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000003444","ENSTGUG00000003342","TLR4","toll like receptor 4 [Source:NCBI gene (formerly Entrezgene);Acc:100216357]","MyD88-dependent toll-like receptor signaling pathway; NK T cell activation; TRIF-dependent toll-like receptor signaling pathway; activation of innate immune response; immune response; innate immune response; lymphocyte proliferation; macrophage activation; toll-like receptor 4 signaling pathway; toll-like receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003449","ENSTGUG00000003336","NCOA6","nuclear receptor coactivator 6 [Source:UniProtKB Gene Name;Acc:A0A674GGK9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003454","ENSTGUG00000003261","UBR2","ubiquitin protein ligase E3 component n-recognin 2 [Source:UniProtKB Gene Name;Acc:H0YYS5]","T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000003479","ENSTGUG00000003368","IL1B","interleukin 1 beta [Source:UniProtKB Gene Name;Acc:H0YYU7]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000003511","ENSTGUG00000003411","RPL39","ribosomal protein L39 [Source:NCBI gene (formerly Entrezgene);Acc:100190644]","antibacterial humoral response; antimicrobial humoral immune response mediated by antimicrobial peptide; innate immune response in mucosa","ZebraFinch","biomartGO"
"ENSTGUP00000003517","ENSTGUG00000003332","IREB2","iron responsive element binding protein 2 [Source:UniProtKB Gene Name;Acc:H0YYY5]","erythrocyte homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003534","ENSTGUG00000003435","HOXB6","homeobox B6 [Source:UniProtKB Gene Name;Acc:H0YZ02]","erythrocyte homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003545","ENSTGUG00000003441","HOXB8","homeobox B8 [Source:UniProtKB Gene Name;Acc:H0YZ13]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003573","ENSTGUG00000003470","PHB1","prohibitin 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190326]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003586","ENSTGUG00000003480","SIRT1","sirtuin 1 [Source:UniProtKB Gene Name;Acc:A0A674GCY2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003592","ENSTGUG00000003458","MCM3AP","minichromosome maintenance complex component 3 associated protein [Source:UniProtKB Gene Name;Acc:H0YZ58]","somatic hypermutation of immunoglobulin genes","ZebraFinch","biomartGO"
"ENSTGUP00000003602","ENSTGUG00000003503","GCNT1","glucosaminyl (N-acetyl) transferase 1 [Source:UniProtKB Gene Name;Acc:H0YZ68]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003616","ENSTGUG00000003405","TOP2B","DNA topoisomerase II beta [Source:UniProtKB Gene Name;Acc:H0YZ82]","B cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000003655","ENSTGUG00000003557","","","lymphocyte migration","ZebraFinch","biomartGO"
"ENSTGUP00000003660","ENSTGUG00000003543","SERINC5","serine incorporator 5 [Source:UniProtKB Gene Name;Acc:H0YZC6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003662","ENSTGUG00000003516","ITCH","itchy E3 ubiquitin protein ligase [Source:UniProtKB Gene Name;Acc:H0YZC8]","CD4-positive, alpha-beta T cell proliferation; cytoplasmic pattern recognition receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003677","ENSTGUG00000003579","BANK1","B cell scaffold protein with ankyrin repeats 1 [Source:UniProtKB Gene Name;Acc:H0YZE3]","B cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003681","ENSTGUG00000003579","BANK1","B cell scaffold protein with ankyrin repeats 1 [Source:UniProtKB Gene Name;Acc:H0YZE3]","B cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003689","ENSTGUG00000003590","TGFBR2","transforming growth factor beta receptor 2 [Source:UniProtKB Gene Name;Acc:H0YZF5]","Langerhans cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000003744","ENSTGUG00000024120","EIF6","eukaryotic translation initiation factor 6 [Source:UniProtKB Gene Name;Acc:A0A674G9I2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000003793","ENSTGUG00000003669","ADD2","adducin 2 [Source:UniProtKB Gene Name;Acc:H0YZQ9]","leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
